sample_group,raw_id,title,url,created_at,tags,matched_keywords,review_classification,persona_core_count,persona_01_count,persona_04_count,persona_05_count,is_valid,is_prefiltered,episode_count,selected_example_count,query_seeds,evidence_snippet
persona_core_not_selected,77892331,Excel Report Generation Issues with openxlsx in R Shiny App,https://stackoverflow.com/questions/77892331/excel-report-generation-issues-with-openxlsx-in-r-shiny-app,2024-01-27T18:34:20+00:00,"['r', 'excel', 'dplyr', 'shiny', 'openxlsx']",['subscription'],strong_persona05_subtheme_example,2,2,0,0,True,True,2,0,"['export_report_integrity__excel__rows total', 'metric_definition_conflict__excel__date filter total']","Excel Report Generation Issues with openxlsx in R Shiny App <p>I'm developing a Shiny app that processes financial data and generates a formatted Excel report. The data processing part works perfectly as a standalone scr | total_Revisions_formula &lt; sprintf(&quot;=SUM(D2:D%d)&quot;, totals_row total_Expenditures_formula &lt; sprintf(&quot;=SUM(E2:E%d)&quot;, totals_row total_Encumbrance_formula &lt; sprintf(&quot;=SUM(F2:F%d)&quot;, tota"
persona_core_not_selected,79016051,SSRS 2014 Export to Excel (.xlsx) causes error191520_01.xml and &quot;try to recover&quot;,https://stackoverflow.com/questions/79016051/ssrs-2014-export-to-excel-xlsx-causes-error191520-01-xml-and-try-to-recover,2024-09-23T19:36:03+00:00,"['reporting-services', 'fonts', 'visual-studio-2022', 'export-to-excel', 'ssrs-2014']","['export to excel', 'export to pdf', 'report server', 'reporting-services', 'ssrs', 'tablix']",server_config_noise,1,1,0,0,True,True,1,0,['export_report_integrity__reporting_services__export csv'],"SSRS 2014 Export to Excel (.xlsx) causes error191520_01.xml and &quot;try to recover&quot; <p>I am modifying existing reports using Visual Studio 2022, I make changes NOT related to the style (colors, fonts etc.) The rep"
persona_core_not_selected,77409902,SSRS Subtotals in Filtered Matrix,https://stackoverflow.com/questions/77409902/ssrs-subtotals-in-filtered-matrix,2023-11-02T13:15:45+00:00,"['reporting-services', 'ssrs-2008-r2', 'ssrs-tablix']","['rdlc', 'reporting-services', 'ssrs', 'tablix']",strong_persona05_subtheme_example,1,1,0,0,True,True,1,0,['export_report_integrity__reporting_services__rows total'],"SSRS Subtotals in Filtered Matrix <p><a href=""https://i.sstatic.net/zBBxj.jpg"" rel=""nofollow noreferrer"">OUTPUT OF CURRENT REPORT</a></p> <p>I have attached an image of my rdlc.<a href=""https://i.sstatic.net/jtqm6.png"" r"
persona_core_not_selected,71505655,SSRS Expressions Nested IIF with SUM not working,https://stackoverflow.com/questions/71505655/ssrs-expressions-nested-iif-with-sum-not-working,2022-03-17T00:12:11+00:00,"['sql-server', 'reporting-services', 'reportbuilder', 'ssrs-2016']","['reportbuilder', 'reporting-services', 'ssrs']",syntax_debug_noise,1,1,0,0,True,True,1,0,"['metric_definition_conflict__reporting_services__calculated field', 'metric_definition_conflict__sql_server__calculated field', 'reconciliation_mismatch__reporting_services__wrong total', 'reconciliation_mismatch__sql_server__wrong total', 'segmentation_breakdown_confusion__reporting_services__group by wrong', 'segmentation_breakdown_confusion__sql_server__group by wrong']",SSRS Expressions Nested IIF with SUM not working <p>I am using SSRS 2016 / Report Builder and I am trying to get a nested IIF expression to SUM number of minutes spent in one particular Room (P241). There are some other 
persona_core_not_selected,75322155,SSRS Column group division query,https://stackoverflow.com/questions/75322155/ssrs-column-group-division-query,2023-02-02T10:58:30+00:00,"['reporting-services', 'reportbuilder3.0']","['reportbuilder', 'reporting-services', 'ssrs']",syntax_debug_noise,1,1,0,0,True,True,1,0,"['metric_definition_conflict__reporting_services__calculated field', 'reconciliation_mismatch__reporting_services__wrong total', 'segmentation_breakdown_confusion__reporting_services__group by wrong']","SSRS Column group division query <p>I’m having a problem with division in my report where its not calculating correctly for the month/year column (CalHeading), which has its own column group.</p> <p>My expression for bot"
persona_core_not_selected,74488215,"SSRS 2016: Report Delivery Extension to send report email via MicrosoftGraph&amp;AzureIdentity, but error in assembly version of Microsoft.Identity.Client",https://stackoverflow.com/questions/74488215/ssrs-2016-report-delivery-extension-to-send-report-email-via-microsoftgraphazu,2022-11-18T10:24:59+00:00,"['reporting-services', 'ssrs-2016', 'microsoft-graph-mail', 'azure-identity']","['reporting-services', 'ssrs', 'subscription']",server_config_noise,1,1,0,0,True,True,1,0,['reconciliation_mismatch__reporting_services__not matching'],"SSRS 2016: Report Delivery Extension to send report email via MicrosoftGraph&amp;AzureIdentity, but error in assembly version of Microsoft.Identity.Client <p>Microsoft announced the expiration of Basic Authentication in "
persona_core_not_selected,73024994,SSRS - Using a Lookup in Background Color property changes the values of the entire row in the tablix,https://stackoverflow.com/questions/73024994/ssrs-using-a-lookup-in-background-color-property-changes-the-values-of-the-ent,2022-07-18T15:39:56+00:00,"['reporting-services', 'reporting-services-2016']","['reporting-services', 'ssrs', 'tablix']",server_config_noise,1,1,0,0,True,True,1,0,['reconciliation_mismatch__reporting_services__not matching'],"SSRS - Using a Lookup in Background Color property changes the values of the entire row in the tablix <p>I have a dataset that contains balances for customer accounts by month:</p> <div class=""s-table-container""> <table "
persona_core_not_selected,69467322,SQL Query to pull date range with missing dates in a table,https://stackoverflow.com/questions/69467322/sql-query-to-pull-date-range-with-missing-dates-in-a-table,2021-10-06T14:08:16+00:00,"['sql', 'date', 'reporting-services']","['reporting-services', 'ssrs', 'subscription']",syntax_debug_noise,1,1,0,0,True,True,1,0,['reconciliation_mismatch__reporting_services__not matching'],"SQL Query to pull date range with missing dates in a table <p>This is a follow on from a previous question I asked which can be found here:</p> <p><a href=""https://stackoverflow.com/questions/60153785/sql-query-to-pull-d"
persona_core_not_selected,78064431,Aligning Two Matrix Tables in SSRS Based on Matching Column Names,https://stackoverflow.com/questions/78064431/aligning-two-matrix-tables-in-ssrs-based-on-matching-column-names,2024-02-26T23:39:54+00:00,"['reporting-services', 'ssrs-2008', 'ssrs-2012', 'ssrs-2008-r2', 'ssrs-tablix']","['reporting-services', 'ssrs', 'tablix']",strong_persona05_subtheme_example,1,1,0,0,True,True,1,0,['reconciliation_mismatch__reporting_services__not matching'],Aligning Two Matrix Tables in SSRS Based on Matching Column Names <p>I have two matrix tables in SQL Server Reporting Services (SSRS) with identical column names. I want to align these tables one above the other in such 
persona_core_not_selected,76798514,Empty values issue SSRS Report Builder chart,https://stackoverflow.com/questions/76798514/empty-values-issue-ssrs-report-builder-chart,2023-07-30T15:45:22+00:00,"['reporting-services', 'linechart', 'reportbuilder']","['reportbuilder', 'reporting-services', 'ssrs']",strong_persona01_example,1,1,0,0,True,True,1,0,['reconciliation_mismatch__reporting_services__not matching'],"Empty values issue SSRS Report Builder chart <p><a href=""https://i.sstatic.net/xhqsd.png"" rel=""nofollow noreferrer"">Click for image with line chart</a></p> <p><a href=""https://i.sstatic.net/xhqsd.png"" rel=""nofollow noref"
