raw_id,url,title,created_at,tags,matched_keywords,classification,specificity_score,is_valid,is_prefiltered,episode_count,labeled_count,persona_core_count,persona_01_count,persona_02_count,persona_03_count,persona_04_count,persona_05_count,selected_example_count,query_seed
77892331,https://stackoverflow.com/questions/77892331/excel-report-generation-issues-with-openxlsx-in-r-shiny-app,Excel Report Generation Issues with openxlsx in R Shiny App,2024-01-27T18:34:20+00:00,"['r', 'excel', 'dplyr', 'shiny', 'openxlsx']",['subscription'],ambiguous,0,True,True,2,2,2,2,0,0,0,0,0,metric_definition_conflict__excel__date filter total
77892331,https://stackoverflow.com/questions/77892331/excel-report-generation-issues-with-openxlsx-in-r-shiny-app,Excel Report Generation Issues with openxlsx in R Shiny App,2024-01-27T18:34:20+00:00,"['r', 'excel', 'dplyr', 'shiny', 'openxlsx']",['subscription'],ambiguous,0,True,True,2,2,2,2,0,0,0,0,0,export_report_integrity__excel__rows total
79016051,https://stackoverflow.com/questions/79016051/ssrs-2014-export-to-excel-xlsx-causes-error191520-01-xml-and-try-to-recover,SSRS 2014 Export to Excel (.xlsx) causes error191520_01.xml and &quot;try to recover&quot;,2024-09-23T19:36:03+00:00,"['reporting-services', 'fonts', 'visual-studio-2022', 'export-to-excel', 'ssrs-2014']","['export to excel', 'export to pdf', 'report server', 'reporting-services', 'ssrs', 'tablix']",server_deployment_or_config_noise,4,True,True,1,1,1,1,0,0,0,0,0,export_report_integrity__reporting_services__export csv
77409902,https://stackoverflow.com/questions/77409902/ssrs-subtotals-in-filtered-matrix,SSRS Subtotals in Filtered Matrix,2023-11-02T13:15:45+00:00,"['reporting-services', 'ssrs-2008-r2', 'ssrs-tablix']","['rdlc', 'reporting-services', 'ssrs', 'tablix']",export_layout_delivery_pain,4,True,True,1,1,1,1,0,0,0,0,0,export_report_integrity__reporting_services__rows total
71505655,https://stackoverflow.com/questions/71505655/ssrs-expressions-nested-iif-with-sum-not-working,SSRS Expressions Nested IIF with SUM not working,2022-03-17T00:12:11+00:00,"['sql-server', 'reporting-services', 'reportbuilder', 'ssrs-2016']","['reportbuilder', 'reporting-services', 'ssrs']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__sql_server__wrong total
71505655,https://stackoverflow.com/questions/71505655/ssrs-expressions-nested-iif-with-sum-not-working,SSRS Expressions Nested IIF with SUM not working,2022-03-17T00:12:11+00:00,"['sql-server', 'reporting-services', 'reportbuilder', 'ssrs-2016']","['reportbuilder', 'reporting-services', 'ssrs']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__reporting_services__wrong total
75322155,https://stackoverflow.com/questions/75322155/ssrs-column-group-division-query,SSRS Column group division query,2023-02-02T10:58:30+00:00,"['reporting-services', 'reportbuilder3.0']","['reportbuilder', 'reporting-services', 'ssrs']",generic_ssrs_syntax_debug,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__reporting_services__wrong total
73024994,https://stackoverflow.com/questions/73024994/ssrs-using-a-lookup-in-background-color-property-changes-the-values-of-the-ent,SSRS - Using a Lookup in Background Color property changes the values of the entire row in the tablix,2022-07-18T15:39:56+00:00,"['reporting-services', 'reporting-services-2016']","['reporting-services', 'ssrs', 'tablix']",database_connection_noise,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__reporting_services__not matching
78064431,https://stackoverflow.com/questions/78064431/aligning-two-matrix-tables-in-ssrs-based-on-matching-column-names,Aligning Two Matrix Tables in SSRS Based on Matching Column Names,2024-02-26T23:39:54+00:00,"['reporting-services', 'ssrs-2008', 'ssrs-2012', 'ssrs-2008-r2', 'ssrs-tablix']","['reporting-services', 'ssrs', 'tablix']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__reporting_services__not matching
76798514,https://stackoverflow.com/questions/76798514/empty-values-issue-ssrs-report-builder-chart,Empty values issue SSRS Report Builder chart,2023-07-30T15:45:22+00:00,"['reporting-services', 'linechart', 'reportbuilder']","['reportbuilder', 'reporting-services', 'ssrs']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,reconciliation_mismatch__reporting_services__not matching
75653747,https://stackoverflow.com/questions/75653747/how-to-calculate-the-date-difference-for-each-record-then-average-that,"How to calculate the date difference for each record, then average that?",2023-03-06T17:04:39+00:00,"['sql', 'reporting-services', 'reportbuilder', 'ssrs-2016']","['reportbuilder', 'reporting-services', 'ssrs']",generic_ssrs_syntax_debug,3,True,True,1,1,1,1,0,0,0,0,0,metric_definition_conflict__sql__calculated field
72371933,https://stackoverflow.com/questions/72371933/unable-to-countrows-dataset-b-from-tablix-with-dataset-a-scope-looking-for-alte,"Unable to COUNTROWS dataset B from tablix with dataset A scope, looking for alternate solutions",2022-05-25T04:23:13+00:00,"['sql-server', 'reporting-services', 'powerbi', 'reportbuilder']","['reportbuilder', 'reporting-services', 'tablix']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,metric_definition_conflict__sql_server__calculated field
71505655,https://stackoverflow.com/questions/71505655/ssrs-expressions-nested-iif-with-sum-not-working,SSRS Expressions Nested IIF with SUM not working,2022-03-17T00:12:11+00:00,"['sql-server', 'reporting-services', 'reportbuilder', 'ssrs-2016']","['reportbuilder', 'reporting-services', 'ssrs']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,metric_definition_conflict__sql_server__calculated field
72371933,https://stackoverflow.com/questions/72371933/unable-to-countrows-dataset-b-from-tablix-with-dataset-a-scope-looking-for-alte,"Unable to COUNTROWS dataset B from tablix with dataset A scope, looking for alternate solutions",2022-05-25T04:23:13+00:00,"['sql-server', 'reporting-services', 'powerbi', 'reportbuilder']","['reportbuilder', 'reporting-services', 'tablix']",export_layout_delivery_pain,3,True,True,1,1,1,1,0,0,0,0,0,metric_definition_conflict__powerbi__calculated field
